SiteName,latitude,longitude,sample_duration,pollutant_standard,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/11/2024,Parts per billion,1.054167,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/12/2024,Parts per billion,1.05,4,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/13/2024,Parts per billion,0.873913,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/14/2024,Parts per billion,0.517647,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/15/2024,Parts per billion,0.1625,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/16/2024,Parts per billion,0.018182,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/17/2024,Parts per billion,-0.020833,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/18/2024,Parts per billion,0.036364,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/19/2024,Parts per billion,0.045833,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/20/2024,Parts per billion,0.095238,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/21/2024,Parts per billion,0.309524,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/22/2024,Parts per billion,0.345455,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/23/2024,Parts per billion,0.329167,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/24/2024,Parts per billion,0.163636,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/25/2024,Parts per billion,0.120833,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/26/2024,Parts per billion,0.454545,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/27/2024,Parts per billion,0.420833,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/28/2024,Parts per billion,0.242105,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,2/29/2024,Parts per billion,0.295238,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/1/2024,Parts per billion,1.268182,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/2/2024,Parts per billion,0.958333,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/3/2024,Parts per billion,1.095455,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/4/2024,Parts per billion,1.1625,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/5/2024,Parts per billion,0.868182,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/6/2024,Parts per billion,1.119048,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/7/2024,Parts per billion,1.027273,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/8/2024,Parts per billion,0.920833,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/9/2024,Parts per billion,0.845455,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/10/2024,Parts per billion,0.883333,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/11/2024,Parts per billion,0.804545,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/12/2024,Parts per billion,1.370833,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/13/2024,Parts per billion,2.331579,9,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/14/2024,Parts per billion,1.6375,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/15/2024,Parts per billion,1.172727,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/16/2024,Parts per billion,0.85,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,3/17/2024,Parts per billion,0.857895,1,Ritner (RIT),24TH & RITNER STREETS
