SiteName,latitude,longitude,sample_duration,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/18/2024,Parts per million,0.383333,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/19/2024,Parts per million,0.547826,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/19/2024,Parts per million,0.583333,8,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/20/2024,Parts per million,0.226087,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/20/2024,Parts per million,0.254167,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/21/2024,Parts per million,0.26087,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/21/2024,Parts per million,0.220833,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/22/2024,Parts per million,0.447826,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/22/2024,Parts per million,0.454167,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/23/2024,Parts per million,0.7,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/23/2024,Parts per million,0.645833,10,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/24/2024,Parts per million,0.904762,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/24/2024,Parts per million,0.8625,11,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/25/2024,Parts per million,0.956522,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/25/2024,Parts per million,0.958333,13,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/26/2024,Parts per million,0.730435,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/26/2024,Parts per million,0.758333,11,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/27/2024,Parts per million,0.665217,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/27/2024,Parts per million,0.679167,10,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/28/2024,Parts per million,0.473913,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/28/2024,Parts per million,0.533333,9,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/29/2024,Parts per million,0.352174,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/29/2024,Parts per million,0.3625,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
