"Date","SiteName","SiteNumber","Unit","Measurement","Latitude","Longitude"
2025-01-17,"MON",421010076,"PPB",16.1833333333333,39.988842,-75.207205
2025-01-17,"NEW",421010048,"PPB",18.7695652173913,39.991389,-75.080833
2025-01-17,"TOR",421010075,"PPB",25.9375,40.054171,-74.985166
2025-01-18,"MON",421010076,"PPB",27.1521739130435,39.988842,-75.207205
2025-01-18,"NEW",421010048,"PPB",26.1478260869565,39.991389,-75.080833
2025-01-18,"TOR",421010075,"PPB",30.404347826087,40.054171,-74.985166
2025-01-19,"MON",421010076,"PPB",17.125,39.988842,-75.207205
2025-01-19,"NEW",421010048,"PPB",17.4304347826087,39.991389,-75.080833
2025-01-19,"TOR",421010075,"PPB",19.6791666666667,40.054171,-74.985166
2025-01-20,"MON",421010076,"PPB",5.34782608695652,39.988842,-75.207205
2025-01-20,"NEW",421010048,"PPB",10.9521739130435,39.991389,-75.080833
2025-01-20,"TOR",421010075,"PPB",10.2652173913043,40.054171,-74.985166
2025-01-21,"MON",421010076,"PPB",10.6333333333333,39.988842,-75.207205
2025-01-21,"NEW",421010048,"PPB",15.195652173913,39.991389,-75.080833
2025-01-21,"TOR",421010075,"PPB",18.8625,40.054171,-74.985166
2025-01-22,"MON",421010076,"PPB",16.0111111111111,39.988842,-75.207205
2025-01-22,"NEW",421010048,"PPB",18.5695652173913,39.991389,-75.080833
2025-01-22,"TOR",421010075,"PPB",20.1263157894737,40.054171,-74.985166
2025-01-23,"MON",421010076,"PPB",32.2916666666667,39.988842,-75.207205
2025-01-23,"NEW",421010048,"PPB",31.1809523809524,39.991389,-75.080833
2025-01-23,"TOR",421010075,"PPB",38.4291666666667,40.054171,-74.985166
2025-01-24,"MON",421010076,"PPB",20.1304347826087,39.988842,-75.207205
2025-01-24,"NEW",421010048,"PPB",23.4782608695652,39.991389,-75.080833
2025-01-24,"TOR",421010075,"PPB",27.4086956521739,40.054171,-74.985166
2025-01-25,"MON",421010076,"PPB",20.1833333333333,39.988842,-75.207205
2025-01-25,"NEW",421010048,"PPB",23.1869565217391,39.991389,-75.080833
2025-01-25,"TOR",421010075,"PPB",28.1458333333333,40.054171,-74.985166
2025-01-26,"MON",421010076,"PPB",18.2478260869565,39.988842,-75.207205
2025-01-26,"NEW",421010048,"PPB",18.2347826086957,39.991389,-75.080833
2025-01-26,"TOR",421010075,"PPB",22.1217391304348,40.054171,-74.985166
2025-01-27,"MON",421010076,"PPB",22.2333333333333,39.988842,-75.207205
2025-01-27,"NEW",421010048,"PPB",25.5434782608696,39.991389,-75.080833
2025-01-27,"TOR",421010075,"PPB",32.9041666666667,40.054171,-74.985166
2025-01-28,"MON",421010076,"PPB",16.2391304347826,39.988842,-75.207205
2025-01-28,"NEW",421010048,"PPB",17.1086956521739,39.991389,-75.080833
2025-01-28,"TOR",421010075,"PPB",21.6130434782609,40.054171,-74.985166
2025-01-29,"MON",421010076,"PPB",18.0736842105263,39.988842,-75.207205
2025-01-29,"NEW",421010048,"PPB",17.8260869565217,39.991389,-75.080833
2025-01-29,"TOR",421010075,"PPB",23.2,40.054171,-74.985166
2025-01-30,"MON",421010076,"PPB",7.99130434782609,39.988842,-75.207205
2025-01-30,"NEW",421010048,"PPB",11.5333333333333,39.991389,-75.080833
2025-01-30,"TOR",421010075,"PPB",12.804347826087,40.054171,-74.985166
2025-01-31,"MON",421010076,"PPB",23.4958333333333,39.988842,-75.207205
2025-01-31,"NEW",421010048,"PPB",22.9086956521739,39.991389,-75.080833
2025-01-31,"TOR",421010075,"PPB",25.375,40.054171,-74.985166
2025-02-01,"MON",421010076,"PPB",8.49130434782609,39.988842,-75.207205
2025-02-01,"NEW",421010048,"PPB",10.4347826086957,39.991389,-75.080833
2025-02-01,"TOR",421010075,"PPB",11.0652173913043,40.054171,-74.985166
2025-02-02,"MON",421010076,"PPB",21.1208333333333,39.988842,-75.207205
2025-02-02,"NEW",421010048,"PPB",9.88260869565217,39.991389,-75.080833
2025-02-02,"TOR",421010075,"PPB",7.89583333333333,40.054171,-74.985166
2025-02-03,"MON",421010076,"PPB",23.9391304347826,39.988842,-75.207205
2025-02-03,"NEW",421010048,"PPB",23.7782608695652,39.991389,-75.080833
2025-02-03,"TOR",421010075,"PPB",27.3434782608696,40.054171,-74.985166
