SiteName,latitude,longitude,sample_duration,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0048,39.991389,-75.080833,24-HR BLK AVG,3/13/2024,Micrograms/cubic meter (25 C),52,48,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/14/2024,Micrograms/cubic meter (25 C),37,34,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/15/2024,Micrograms/cubic meter (25 C),25,23,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/16/2024,Micrograms/cubic meter (25 C),9,8,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/17/2024,Micrograms/cubic meter (25 C),12,11,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/18/2024,Micrograms/cubic meter (25 C),19,18,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/19/2024,Micrograms/cubic meter (25 C),15,14,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/20/2024,Micrograms/cubic meter (25 C),41,38,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/21/2024,Micrograms/cubic meter (25 C),15,14,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/22/2024,Micrograms/cubic meter (25 C),13,12,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/23/2024,Micrograms/cubic meter (25 C),7,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/24/2024,Micrograms/cubic meter (25 C),6,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/25/2024,Micrograms/cubic meter (25 C),11,10,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/26/2024,Micrograms/cubic meter (25 C),16,15,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/27/2024,Micrograms/cubic meter (25 C),14,13,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/28/2024,Micrograms/cubic meter (25 C),14,13,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/29/2024,Micrograms/cubic meter (25 C),16,15,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/30/2024,Micrograms/cubic meter (25 C),13,12,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,3/31/2024,Micrograms/cubic meter (25 C),12,11,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/3/2024,Micrograms/cubic meter (25 C),4,4,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/1/2024,Micrograms/cubic meter (25 C),18,17,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/2/2024,Micrograms/cubic meter (25 C),13,12,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/4/2024,Micrograms/cubic meter (25 C),6,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/8/2024,Micrograms/cubic meter (25 C),22,20,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/5/2024,Micrograms/cubic meter (25 C),6,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/6/2024,Micrograms/cubic meter (25 C),6,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/7/2024,Micrograms/cubic meter (25 C),5,5,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/9/2024,Micrograms/cubic meter (25 C),29,27,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/10/2024,Micrograms/cubic meter (25 C),32,30,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/11/2024,Micrograms/cubic meter (25 C),20,19,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/12/2024,Micrograms/cubic meter (25 C),10,9,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/13/2024,Micrograms/cubic meter (25 C),6,6,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/14/2024,Micrograms/cubic meter (25 C),12,11,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/15/2024,Micrograms/cubic meter (25 C),19,18,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/16/2024,Micrograms/cubic meter (25 C),19,18,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
0048,39.991389,-75.080833,24-HR BLK AVG,4/17/2024,Micrograms/cubic meter (25 C),20,19,North East Waste (NEW),"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137"
