"site_number","Min","Q1","Median","Q3","Max","Mean","Latitude","Longitude"
"0048",3.108696,7.3317285,9.53913,13.93327875,44.382609,11.3373789725275,39.991389,-75.080833
"0075",1.995,9.1088765,13.43625,17.38378625,38.7,13.9679259666667,40.054171,-74.985166
"0076",1.9375,6.883696,10.9982835,15.5788195,39.826087,12.1497580302198,39.988842,-75.207205
