"site_number","Min","Q1","Median","Q3","Max","Mean","Latitude","Longitude"
"0048",1,2,3,5,16,3.5,39.991389,-75.080833
"0075",0,6,7,8,17,7.1536312849162,40.054171,-74.985166
"0076",2,5.25,7,8,15,6.60109289617486,39.988842,-75.207205
