"site_number","Min","Q1","Median","Q3","Max","Mean","Latitude","Longitude"
"0048",0.017391,0.156522,0.2,0.23913,0.614286,0.211713323144105,39.991389,-75.080833
"0075",0.016667,0.37097825,0.43913,0.54192525,0.917391,0.458013913407821,40.054171,-74.985166
"0076",0.165217,0.357609,0.45,0.547826,1.047826,0.458932303278689,39.988842,-75.207205
