"site_number","Min","Q1","Median","Q3","Max","Mean","Latitude","Longitude"
"LABP",11,35.5,48,58,100,46.7464387464387,40.008889,-75.09778
"NEW",5,27,36,52,89,38.1154761904762,39.991389,-75.080833
"RIT",11,31,41,53,102,41.4098360655738,39.922867,-75.186921
"FAB",14,34,43,54,82,43.7175792507205,39.960048,-75.142614
"TOR",12,33.5,44,55,99,44.9275766016713,40.054171,-74.985166
"MON",8,28,37,53,86,39.5121951219512,39.988842,-75.207205
