"site_number","Min","Q1","Median","Q3","Max","Mean","Latitude","Longitude"
"0048",5,13.75,19.5,27,54,20.7527472527473,39.991389,-75.080833
"0075",5,18,25,31,60,24.6444444444444,40.054171,-74.985166
"0076",4,13,21,27.25,63,21.2664835164835,39.988842,-75.207205
