"site_number","Min","Q1","Median","Q3","Max","Mean","Latitude","Longitude"
"LABP",2,6.35,8.6,12.95,35.2,9.97037037037037,40.008889,-75.09778
"NEW",0.9,4.8,6.5,9.4,29.6,7.51904761904762,39.991389,-75.080833
"RIT",1.9,5.5,7.4,10.375,36,8.31393442622951,39.922867,-75.186921
"FAB",2.5,6.1,7.8,10.9,25.8,8.86397694524496,39.960048,-75.142614
"TOR",2.2,6.05,7.9,11.35,34.6,9.34261838440111,40.054171,-74.985166
"MON",1.5,5.1,6.6,10.2,27.9,7.93780487804878,39.988842,-75.207205
